start,end,count,has_preferred,preferred_book,preferred_ref
א,א,43,yes,Tehillim,Tehillim 118:25
א,ב,34,yes,Tehillim,Tehillim 44:5
א,ג,2,yes,Tehillim,Tehillim 42:5
א,ד,33,yes,Tehillim,Tehillim 45:18
א,ה,257,yes,Tehillim,Tehillim 41:2
א,ו,234,yes,Tehillim,Tehillim 146:5
א,ז,5,yes,Shir Hashirim,Shir Hashirim 8:9
א,ח,19,yes,Tehillim,Tehillim 118:27
א,ט,5,yes,Tehillim,Tehillim 62:7
א,י,171,yes,Tehillim,Tehillim 5:2
א,ך,135,yes,Tehillim,Tehillim 16:2
א,ל,57,yes,Tehillim,Tehillim 68:9
א,ם,297,yes,Nechemiah,Nechemiah 9:7
א,ן,92,yes,Tehillim,Tehillim 30:9
א,ס,4,yes,Tehillim,Tehillim 27:12
א,ע,41,yes,Tehillim,Tehillim 10:6
א,ף,15,yes,Tehillim,Tehillim 85:12
א,פ,15,no,,
א,ץ,22,yes,Tehillim,Tehillim 33:5
א,ק,7,yes,Tehillim,Tehillim 105:9
א,ר,68,yes,Tehillim,Tehillim 20:8
א,ש,21,yes,Tehillim,Tehillim 55:15
א,ת,69,yes,Tehillim,Tehillim 106:3
ב,א,34,yes,Tehillim,Tehillim 115:10
ב,ב,19,yes,Tehillim,Tehillim 54:8
ב,ג,1,yes,Divrei Hayamim I,Divrei Hayamim I 11:22
ב,ד,15,yes,Tehillim,Tehillim 78:13
ב,ה,236,yes,Tehillim,Tehillim 105:45
ב,ו,126,yes,Tehillim,Tehillim 103:2
ב,ז,2,yes,Tehillim,Tehillim 138:3
ב,ח,11,yes,Mishlei,Mishlei 14:11
ב,ט,3,yes,Mishlei,Mishlei 8:20
ב,י,83,yes,Tehillim,Tehillim 23:2
ב,ך,63,yes,Tehillim,Tehillim 119:12
ב,ל,38,yes,Tehillim,Tehillim 68:27
ב,ם,169,yes,Tehillim,Tehillim 71:1
ב,ן,49,yes,Tehillim,Tehillim 41:14
ב,ס,6,yes,Tehillim,Tehillim 147:2
ב,ע,8,yes,Mishlei,Mishlei 16:6
ב,ף,5,yes,Iyov,Iyov 34:32
ב,פ,5,no,,
ב,ץ,15,yes,Tehillim,Tehillim 115:15
ב,ק,12,yes,Mishlei,Mishlei 8:15
ב,ר,61,yes,Tehillim,Tehillim 45:10
ב,ש,19,yes,Mishlei,Mishlei 16:15
ב,ת,36,yes,Tehillim,Tehillim 104:1
ג,א,3,yes,Iyov,Iyov 13:16
ג,ב,8,yes,Tehillim,Tehillim 19:12
ג,ג,0,yes,Tehillim,Tehillim 119:67
ג,ד,3,yes,Mishlei,Mishlei 29:23
ג,ה,27,yes,Tehillim,Tehillim 37:5
ג,ו,21,yes,Tehillim,Tehillim 34:4
ג,ז,0,yes,Tehillim,Tehillim 72:6
ג,ח,2,yes,Mishlei,Mishlei 24:5
ג,ט,0,no,,
ג,י,20,yes,Tehillim,Tehillim 119:24
ג,ך,15,yes,Tehillim,Tehillim 119:18
ג,ל,8,yes,Tehillim,Tehillim 71:22
ג,ם,30,yes,Tehillim,Tehillim 111:2
ג,ן,7,yes,Tehillim,Tehillim 49:3
ג,ס,0,no,,
ג,ע,2,yes,Iyov,Iyov 11:8
ג,ף,2,yes,Mishlei,Mishlei 19:19
ג,פ,2,no,,
ג,ץ,5,yes,Tehillim,Tehillim 104:9
ג,ק,2,yes,Yeshayahu,Yeshayahu 50:6
ג,ר,8,yes,Tehillim,Tehillim 145:3
ג,ש,3,yes,Shmuel II,Shmuel II 8:11
ג,ת,10,yes,Tehillim,Tehillim 119:20
ד,א,6,yes,Daniel,Daniel 2:36
ד,ב,3,yes,Yeshayahu,Yeshayahu 55:6
ד,ג,0,yes,Yonah,Yonah 2:11
ד,ד,4,yes,Tehillim,Tehillim 105:4
ד,ה,25,yes,Mishlei,Mishlei 12:25
ד,ו,17,yes,Tehillim,Tehillim 145:4
ד,ז,0,no,,
ד,ח,0,yes,Yeshayahu,Yeshayahu 54:12
ד,ט,0,no,,
ד,י,18,yes,Tehillim,Tehillim 119:30
ד,ך,11,yes,Tehillim,Tehillim 63:9
ד,ל,7,yes,Bereishit,Bereishit 49:16
ד,ם,28,yes,Mishlei,Mishlei 3:17
ד,ן,7,yes,Bamidbar,Bamidbar 33:51
ד,ס,0,yes,Shir Hashirim,Shir Hashirim 4:13
ד,ע,0,yes,Tehillim,Tehillim 139:23
ד,ף,2,yes,Iyov,Iyov 19:6
ד,פ,2,no,,
ד,ץ,4,yes,Mishlei,Mishlei 30:12
ד,ק,0,yes,Shemot,Shemot 16:14
ד,ר,6,yes,Shemot,Shemot 1:4
ד,ש,2,yes,Vayikra,Vayikra 23:24
ד,ת,10,yes,Tehillim,Tehillim 37:7
ה,א,22,yes,Devarim,Devarim 32:4
ה,ב,23,yes,Tehillim,Tehillim 119:34
ה,ג,2,yes,Iyov,Iyov 6:16
ה,ד,33,yes,Tehillim,Tehillim 111:3
ה,ה,205,yes,Tehillim,Tehillim 30:12
ה,ו,187,yes,Tehillim,Tehillim 107:1
ה,ז,3,yes,Tehillim,Tehillim 97:7
ה,ח,9,yes,Tehillim,Tehillim 104:3
ה,ט,13,yes,Tehillim,Tehillim 94:9
ה,י,96,yes,Tehillim,Tehillim 119:35
ה,ך,78,yes,Tehillim,Tehillim 86:11
ה,ל,56,yes,Tehillim,Tehillim 5:3
ה,ם,162,yes,Tehillim,Tehillim 126:3
ה,ן,39,yes,Tehillim,Tehillim 127:3
ה,ס,4,yes,Tehillim,Tehillim 74:20
ה,ע,22,yes,Tehillim,Tehillim 19:2
ה,ף,19,yes,Tehillim,Tehillim 148:10
ה,פ,19,no,,
ה,ץ,22,yes,Tehillim,Tehillim 96:9
ה,ק,12,yes,Tehillim,Tehillim 55:23
ה,ר,77,yes,Tehillim,Tehillim 148:3
ה,ש,14,yes,Tehillim,Tehillim 29:2
ה,ת,48,yes,Tehillim,Tehillim 148:7
ו,א,285,yes,Tehillim,Tehillim 80:19
ו,ב,335,yes,Tehillim,Tehillim 78:10
ו,ג,16,yes,Yeshayahu,Yeshayahu 14:30
ו,ד,369,yes,Tehillim,Tehillim 52:10
ו,ה,2487,yes,Tehillim,Tehillim 9:11
ו,ו,1660,yes,Tehillim,Tehillim 35:9
ו,ז,25,yes,Melachim I,Melachim I 7:11
ו,ח,121,yes,Tehillim,Tehillim 1:3
ו,ט,60,yes,Bamidbar,Bamidbar 29:18
ו,י,720,yes,Tehillim,Tehillim 13:6
ו,ך,626,yes,Tehillim,Tehillim 69:14
ו,ל,644,yes,Tehillim,Tehillim 22:4
ו,ם,2447,yes,Tehillim,Tehillim 41:11
ו,ן,586,yes,Tehillim,Tehillim 72:19
ו,ס,31,yes,Tehillim,Tehillim 69:32
ו,ע,104,yes,Yechezkel,Yechezkel 3:10
ו,ף,102,yes,Tehillim,Tehillim 89:24
ו,פ,102,no,,
ו,ץ,159,yes,Tehillim,Tehillim 83:19
ו,ק,59,yes,Malachi,Malachi 3:20
ו,ר,833,yes,Bereishit,Bereishit 1:3
